投票区,番号,住所,備考,名称
109,7,大阪府吹田市日の出町１０－２２の前,大阪高等学校グラウンド西面,109-7 大阪高等学校グラウンド西面
110,1,大阪府吹田市昭和町２の前,ＪＲの柵（和光ハイツ前）,110-1 ＪＲの柵（和光ハイツ前）
110,2,大阪府吹田市昭和町２－１０,中西工業（株）フェンス,110-2 中西工業（株）フェンス
110,3,大阪府吹田市目俵町１,ＪＲ吹田総合車両所南西面（丸又紙工前）,110-3 ＪＲ吹田総合車両所南西面（丸又紙工前）
110,4,大阪府吹田市目俵町１－１１,目俵市民体育館南東面,110-4 目俵市民体育館南東面
110,5,大阪府吹田市目俵町１,ＪＲ吹田総合車両所フェンス（日本テープＫＫ前）,110-5 ＪＲ吹田総合車両所フェンス（日本テープＫＫ前）
110,6,大阪府吹田市目俵町１,日本貨物鉄道(株)フェンス,110-6 日本貨物鉄道(株)フェンス
110,7,大阪府吹田市目俵町１－１１,目俵市民体育館南西面,110-7 目俵市民体育館南西面
111,1,大阪府吹田市幸町２０－１,吹田東小学校西面,111-1 吹田東小学校西面
111,2,大阪府吹田市幸町２０－１,吹田東小学校南面,111-2 吹田東小学校南面
111,3,大阪府吹田市吹東町２９－３の前,水路鉄柵,111-3 水路鉄柵
111,4,大阪府吹田市幸町２９－１,山崎製パン(株)入口横,111-4 山崎製パン(株)入口横
111,5,大阪府吹田市吹東町１７,吹東町集会所横運動広場フェンス,111-5 吹東町集会所横運動広場フェンス
111,6,大阪府吹田市吹東町１７,吹東緑地,111-6 吹東緑地
111,7,大阪府吹田市幸町２１－１,第五中学校正門横フェンス,111-7 第五中学校正門横フェンス
112,1,大阪府吹田市日の出町２７,済生会吹田病院前遊歩道,112-1 済生会吹田病院前遊歩道
112,2,大阪府吹田市川園町５４,植樹帯（ミストラル川園前）,112-2 植樹帯（ミストラル川園前）
112,3,大阪府吹田市川園町６０,コミュニティーホール川園第一会館裏生垣,112-3 コミュニティーホール川園第一会館裏生垣
112,4,大阪府吹田市川園町６０,府営吹田川園住宅７号棟前ポンプ室西面,112-4 府営吹田川園住宅７号棟前ポンプ室西面
112,5,大阪府吹田市川園町６０,空地南面,112-5 空地南面
112,6,大阪府吹田市川園町６１,川園第二会館横ポンプ室北面,112-6 川園第二会館横ポンプ室北面
112,7,大阪府吹田市川園町６１,府営吹田川園住宅２号棟西面,112-7 府営吹田川園住宅２号棟西面
113,1,大阪府吹田市西御旅町５－８,(株)日本触媒吹田工場東面,113-1 (株)日本触媒吹田工場東面
113,2,大阪府吹田市西御旅町８,西御旅セントポーリア遊園東面,113-2 西御旅セントポーリア遊園東面
113,3,大阪府吹田市東御旅町２,(株)日本触媒御旅グラウンドフェンス,113-3 (株)日本触媒御旅グラウンドフェンス
113,4,大阪府吹田市東御旅町８－６７,(株)日本触媒吹田工場西面,113-4 (株)日本触媒吹田工場西面
113,5,大阪府吹田市東御旅町１０－７２,こすも公園,113-5 こすも公園
113,6,大阪府吹田市西御旅町７－５３,Ｍｅｉｊｉフットサル屋内コート 明治東洋医学院専門 学校,113-6 Ｍｅｉｊｉフットサル屋内コート 明治東洋医学院専門 学校
121,1,大阪府吹田市南正雀１丁目１,阪急正雀駅金網,121-1 阪急正雀駅金網
121,2,大阪府吹田市南正雀１丁目２４,岸本モータープールフェンス,121-2 岸本モータープールフェンス
121,3,大阪府吹田市南正雀２丁目１４の前,緑道東端,121-3 緑道東端
121,4,大阪府吹田市南正雀２丁目４１－８,国土遊園北面,121-4 国土遊園北面
121,5,大阪府吹田市南正雀３丁目,緑道西端,121-5 緑道西端
121,6,大阪府吹田市南正雀５丁目２－３４の前,安威川フェンス,121-6 安威川フェンス
121,7,大阪府吹田市南正雀４丁目１０,大阪市高速電気軌道(株) 東吹田検車場フェンス,121-7 大阪市高速電気軌道(株) 東吹田検車場フェンス
122,1,大阪府吹田市岸部南１丁目４番８号,岸部市民センター南東面フェンス,122-1 岸部市民センター南東面フェンス
122,2,大阪府吹田市岸部南１丁目６－１０の前,阪急電車フェンス,122-2 阪急電車フェンス
122,3,大阪府吹田市岸部南２丁目３７番,大阪学院大学,122-3 大阪学院大学
122,4,大阪府吹田市岸部南１丁目２５,岸本南駐車場前水路鉄柵,122-4 岸本南駐車場前水路鉄柵
122,5,大阪府吹田市岸部南１丁目２５,ＪＲフェンス（岸辺駅前第２自転車駐車場前）,122-5 ＪＲフェンス（岸辺駅前第２自転車駐車場前）
122,6,大阪府吹田市岸部南２丁目２１の前,ＪＲフェンス（中井マンション前）,122-6 ＪＲフェンス（中井マンション前）
122,7,大阪府吹田市岸部南２丁目４３－２９,さくらモータープール,122-7 さくらモータープール
123,1,大阪府吹田市岸部中１丁目１２,市営岸部中住宅西１棟北西面側歩道,123-1 市営岸部中住宅西１棟北西面側歩道
123,2,大阪府吹田市岸部中１丁目１８,岸部中第２公園北面,123-2 岸部中第２公園北面
123,3,大阪府吹田市岸部中２丁目１９－１,岸部第一小学校北面,123-3 岸部第一小学校北面
123,4,大阪府吹田市岸部中２丁目１９－１,岸部第一小学校南面,123-4 岸部第一小学校南面
123,5,大阪府吹田市岸部中２丁目２－１,市立ことぶき保育園南フェンス,123-5 市立ことぶき保育園南フェンス
123,6,大阪府吹田市岸部南１丁目１６,ＪＲ岸辺駅北口エスカレーター横植栽,123-6 ＪＲ岸辺駅北口エスカレーター横植栽
123,7,大阪府吹田市岸部中３丁目２６,岸部中３丁目２６フェンス,123-7 岸部中３丁目２６フェンス
124,1,大阪府吹田市岸部北１丁目２１,第二中学校南東面コンクリート壁,124-1 第二中学校南東面コンクリート壁
124,2,大阪府吹田市岸部北２丁目３,府営岸部第一住宅駐車場東面,124-2 府営岸部第一住宅駐車場東面
124,3,大阪府吹田市岸部北２丁目６,下井モータープール南面,124-3 下井モータープール南面
124,4,大阪府吹田市岸部北１丁目２１,第二中学校正門左側コンクリート壁,124-4 第二中学校正門左側コンクリート壁
124,5,大阪府吹田市岸部北４丁目１２－１,岸部第二小学校南角フェンス,124-5 岸部第二小学校南角フェンス
124,6,大阪府吹田市岸部北４丁目１７,紫金山公園南面植樹帯,124-6 紫金山公園南面植樹帯
124,7,大阪府吹田市岸部北４丁目２７,岸部北公園,124-7 岸部北公園
124,8,大阪府吹田市岸部北５丁目２０－１０,アルフレッサ（株）吹田事業所,124-8 アルフレッサ（株）吹田事業所
131,1,大阪府吹田市原町１丁目１３－２８の横,農地（山本駐車場横）,131-1 農地（山本駐車場横）
131,2,大阪府吹田市原町２丁目１１,今池（新からま池）北面,131-2 今池（新からま池）北面
131,3,大阪府吹田市原町２丁目１３,棚裏池（牛池）南面,131-3 棚裏池（牛池）南面
131,4,大阪府吹田市原町２丁目２３,濁池北面歩道鉄柵,131-4 濁池北面歩道鉄柵
131,5,大阪府吹田市原町２丁目２８,宮が谷池公園北東面,131-5 宮が谷池公園北東面
131,6,大阪府吹田市原町２丁目５４,原町めだか遊園,131-6 原町めだか遊園
131,7,大阪府吹田市原町３丁目３４,徳田工務店横空地鉄柵,131-7 徳田工務店横空地鉄柵
132,1,大阪府吹田市片山町４丁目２７,原新池公園西面,132-1 原新池公園西面
132,2,大阪府吹田市片山町４丁目２７,原新池公園東面,132-2 原新池公園東面
132,3,大阪府吹田市片山町４丁目３２－１３,千里第一小学校（陸橋横）,132-3 千里第一小学校（陸橋横）
132,4,大阪府吹田市片山町４丁目３２－１３,千里第一小学校（西面）,132-4 千里第一小学校（西面）
132,5,大阪府吹田市藤が丘町４,大井池公園東面,132-5 大井池公園東面
132,6,大阪府吹田市藤が丘町２７,くまちゃん遊園,132-6 くまちゃん遊園
132,7,大阪府吹田市天道町８,市営天道住宅北面 所 在 地 岸部中１丁目１２ 岸部中１丁目１８ 岸部中２丁目１９－１ 岸部中２丁目１９－１ 岸部中２丁目２－１ 岸部南１丁目１６ 岸部中３丁目２６,132-7 市営天道住宅北面 所 在 地 岸部中１丁目１２ 岸部中１丁目１８ 岸部中２丁目１９－１ 岸部中２丁目１９－１ 岸部中２丁目２－１ 岸部南１丁目１６ 岸部中３丁目２６
133,1,大阪府吹田市片山町１丁目２２,片山町１丁目２２フェンス,133-1 片山町１丁目２２フェンス
133,2,大阪府吹田市片山町１丁目２１,片山荒池遊園鉄柵,133-2 片山荒池遊園鉄柵
133,3,大阪府吹田市片山町１丁目２２,片山自転車保管所前フェンス,133-3 片山自転車保管所前フェンス
133,4,大阪府吹田市片山町１丁目２２,緑の遊歩道内植栽,133-4 緑の遊歩道内植栽
133,5,大阪府吹田市片山町３丁目５,植樹帯（エースモータープール前）,133-5 植樹帯（エースモータープール前）
133,6,大阪府吹田市片山町３丁目１６－２２,吹田税務署駐車場西面,133-6 吹田税務署駐車場西面
134,1,大阪府吹田市朝日が丘町１５－１５,歩道鉄柵,134-1 歩道鉄柵
134,2,大阪府吹田市片山町２丁目５－１,大和大学北西面フェンス,134-2 大和大学北西面フェンス
134,3,大阪府吹田市山手町４丁目１３－１,片山北ふれあい公園西面,134-3 片山北ふれあい公園西面
134,4,大阪府吹田市朝日が丘町２６－１０,片山浄水所東面,134-4 片山浄水所東面
134,5,大阪府吹田市朝日が丘町１６－１の前,植樹帯（片山幼稚園東側）,134-5 植樹帯（片山幼稚園東側）
134,6,大阪府吹田市朝日が丘町２１,たけのこ遊園,134-6 たけのこ遊園
134,7,大阪府吹田市山手町４丁目３２,山手ゆにわ遊園北面,134-7 山手ゆにわ遊園北面
135,1,大阪府吹田市出口町３２,片山保育園西面,135-1 片山保育園西面
135,2,大阪府吹田市出口町３４,住宅公団片山団地北側進入路横,135-2 住宅公団片山団地北側進入路横
135,3,大阪府吹田市山手町１丁目６－１,山手地区公民館フェンス,135-3 山手地区公民館フェンス
135,4,大阪府吹田市出口町２８,糸田川鉄柵（豊津駅東側）,135-4 糸田川鉄柵（豊津駅東側）
135,5,大阪府吹田市山手町２丁目１５－４３,山手小学校運動場東面,135-5 山手小学校運動場東面
135,6,大阪府吹田市山手町２丁目１５－４３,山手小学校正門横,135-6 山手小学校正門横
135,7,大阪府吹田市山手町２丁目１５－４３,山手小学校北面,135-7 山手小学校北面
135,8,大阪府吹田市山手町３丁目１５,山手コーポ遊園南面,135-8 山手コーポ遊園南面
136,1,大阪府吹田市上山手町７,山の谷墓地西面北寄り市道フェンス,136-1 山の谷墓地西面北寄り市道フェンス
136,2,大阪府吹田市上山手町１４,佐井寺南２号緑地,136-2 佐井寺南２号緑地
136,3,大阪府吹田市上山手町１８,上山手公園東面石壁,136-3 上山手公園東面石壁
136,4,大阪府吹田市上山手町２７,牛角吹田上山手店前フェンス,136-4 牛角吹田上山手店前フェンス
136,5,大阪府吹田市上山手町５５,農地北面フェンス,136-5 農地北面フェンス
136,6,大阪府吹田市上山手町５９,上山手遊園東面 所 在 地 片山町１丁目２２ 片山町１丁目２１ 片山町１丁目２２ 片山町１丁目２２ 片山町３丁目５ 片山町３丁目１６－２２,136-6 上山手遊園東面 所 在 地 片山町１丁目２２ 片山町１丁目２１ 片山町１丁目２２ 片山町１丁目２２ 片山町３丁目５ 片山町３丁目１６－２２
137,1,大阪府吹田市原町４丁目２２,原町うずまき遊園南東面,137-1 原町うずまき遊園南東面
137,2,大阪府吹田市原町３丁目３,サイクルショップカンザキ吹田店西面,137-2 サイクルショップカンザキ吹田店西面
137,3,大阪府吹田市原町３丁目４８－１,原竜が池公園南面,137-3 原竜が池公園南面
137,4,大阪府吹田市原町３丁目４８－１,原竜が池公園北面,137-4 原竜が池公園北面
137,5,大阪府吹田市原町４丁目１２,住友公園南面,137-5 住友公園南面
137,6,大阪府吹田市原町４丁目２６－８,原町児童センター,137-6 原町児童センター
137,7,大阪府吹田市原町４丁目２８,原町公園南西面,137-7 原町公園南西面
141,1,大阪府吹田市垂水町１丁目６－９,垂水保育園西面,141-1 垂水保育園西面
141,2,大阪府吹田市垂水町１丁目３４,玉の井公園南面,141-2 玉の井公園南面
141,3,大阪府吹田市垂水町２丁目１１,垂水東遊園東面,141-3 垂水東遊園東面
141,4,大阪府吹田市垂水町３丁目２２－５,みどり健康管理センター南面フェンス,141-4 みどり健康管理センター南面フェンス
141,5,大阪府吹田市垂水町２丁目２５,垂水南遊園東面植栽,141-5 垂水南遊園東面植栽
141,6,大阪府吹田市垂水町３丁目３２－５０,豊津中学校東面,141-6 豊津中学校東面
141,7,大阪府吹田市垂水町３丁目３２－５０,豊津中学校北面,141-7 豊津中学校北面
141,8,大阪府吹田市垂水町３丁目３２－５０,豊津中学校西面,141-8 豊津中学校西面
142,1,大阪府吹田市垂水町１丁目６０,北之町第３遊園,142-1 北之町第３遊園
142,2,大阪府吹田市江坂町１丁目１９,江坂公園東面植樹帯,142-2 江坂公園東面植樹帯
142,3,大阪府吹田市江坂町１丁目１９,江坂公園北面植樹帯,142-3 江坂公園北面植樹帯
142,4,大阪府吹田市江坂町１丁目１５－４２,豊津第一小学校東面,142-4 豊津第一小学校東面
142,5,大阪府吹田市江坂町１丁目１５－４２,豊津第一小学校北面,142-5 豊津第一小学校北面
142,6,大阪府吹田市江坂町１丁目１９,江坂公園南面植込み,142-6 江坂公園南面植込み
142,7,大阪府吹田市広芝町１,広芝公園北面,142-7 広芝公園北面
142,8,大阪府吹田市広芝町２,広芝糸田川右岸,142-8 広芝糸田川右岸
142,9,大阪府吹田市垂水町１丁目５４,北之町遊園北面,142-9 北之町遊園北面
142,10,大阪府吹田市広芝町１６,広芝橋 糸田川右岸交差点フェンス,142-10 広芝橋 糸田川右岸交差点フェンス
143,1,大阪府吹田市豊津町６－１,豊津西中学校南面,143-1 豊津西中学校南面
143,2,大阪府吹田市豊津町７,江坂駅前西自転車駐車場,143-2 江坂駅前西自転車駐車場
143,3,大阪府吹田市豊津町４６,市営豊津住宅Ｔ５棟北面,143-3 市営豊津住宅Ｔ５棟北面
143,4,大阪府吹田市豊津町５０,市営豊津住宅Ｔ３棟東面,143-4 市営豊津住宅Ｔ３棟東面
143,5,大阪府吹田市江の木町４,江の木公園北面,143-5 江の木公園北面
143,6,大阪府吹田市江の木町１２,モクセイ遊園東面,143-6 モクセイ遊園東面
143,7,大阪府吹田市江の木３３－９５,住友ファーマ(株)北面,143-7 住友ファーマ(株)北面
143,8,大阪府吹田市芳野町１３,吹田支援学校北面,143-8 吹田支援学校北面
143,9,大阪府吹田市豊津町６－１,豊津西中学校北面 所 在 地 原町４丁目２２ 原町３丁目３ 原町３丁目４８－１ 原町３丁目４８－１ 原町４丁目１２ 原町４丁目２６－８ 原町４丁目２８,143-9 豊津西中学校北面 所 在 地 原町４丁目２２ 原町３丁目３ 原町３丁目４８－１ 原町３丁目４８－１ 原町４丁目１２ 原町４丁目２６－８ 原町４丁目２８
144,1,大阪府吹田市江坂町３丁目１２－１,江坂町公民館西面,144-1 江坂町公民館西面
144,2,大阪府吹田市江坂町３丁目１３－１,江坂大池小学校南面,144-2 江坂大池小学校南面
144,3,大阪府吹田市江坂町３丁目１３－１,江坂大池小学校北面,144-3 江坂大池小学校北面
144,4,大阪府吹田市江坂町４丁目１０,大阪健康倶楽部小谷診療所南面,144-4 大阪健康倶楽部小谷診療所南面
144,5,大阪府吹田市江坂町３丁目23-31,江坂ふじ遊園南面植樹帯,144-5 江坂ふじ遊園南面植樹帯
144,6,大阪府吹田市江坂町４丁目２３－６,住宅・都市整備公団江坂住宅６棟東面,144-6 住宅・都市整備公団江坂住宅６棟東面
144,7,大阪府吹田市江坂町３丁目４７,歩道鉄柵,144-7 歩道鉄柵
145,1,大阪府吹田市江坂町２丁目２の前,名神沿いフェンス,145-1 名神沿いフェンス
145,2,大阪府吹田市江坂町２丁目５－１,豊津第二小学校南面,145-2 豊津第二小学校南面
145,3,大阪府吹田市江坂町２丁目５－１,豊津第二小学校西面,145-3 豊津第二小学校西面
145,4,大阪府吹田市江坂町２丁目１１,ＮＡＳ駐車場西面,145-4 ＮＡＳ駐車場西面
145,5,大阪府吹田市江坂町２丁目１３の前,名神沿いフェンス,145-5 名神沿いフェンス
145,6,大阪府吹田市江坂町２丁目２７,染之井公園北面,145-6 染之井公園北面
145,7,大阪府吹田市江坂町２丁目３４,染之井南遊園,145-7 染之井南遊園
151,1,大阪府吹田市山手町３丁目３,関西大学会館 大学本部 東側フェンス,151-1 関西大学会館 大学本部 東側フェンス
151,2,大阪府吹田市円山町５２,円山見晴らし公園南東面,151-2 円山見晴らし公園南東面
151,3,大阪府吹田市山手町３丁目５,関大幼稚園前阪急フェンス,151-3 関大幼稚園前阪急フェンス
151,4,大阪府吹田市円山町３,垂水上池公園東面,151-4 垂水上池公園東面
151,5,大阪府吹田市円山町１２－２９,住宅供給公社豊津団地北面,151-5 住宅供給公社豊津団地北面
151,6,大阪府吹田市円山町５０,円山公園フェンス,151-6 円山公園フェンス
151,7,大阪府吹田市円山町２１,関大前駅南側歩道フェンス,151-7 関大前駅南側歩道フェンス
152,1,大阪府吹田市千里山西１丁目６,市営千里山西住宅２棟北東面,152-1 市営千里山西住宅２棟北東面
152,2,大阪府吹田市千里山西１丁目１３,千里山西遊園,152-2 千里山西遊園
152,3,大阪府吹田市千里山西２丁目２－１,第一中学校東面,152-3 第一中学校東面
152,4,大阪府吹田市千里山西２丁目１３－１,千里第三小学校北面,152-4 千里第三小学校北面
152,5,大阪府吹田市千里山西２丁目１７,江坂山北公園南面,152-5 江坂山北公園南面
152,6,大阪府吹田市千里山西２丁目１３－１,千里第三小学校南面,152-6 千里第三小学校南面
152,7,大阪府吹田市江坂町５丁目３,江坂山南公園北面,152-7 江坂山南公園北面
152,8,大阪府吹田市江坂町５丁目１３,江坂５丁目パーキング北面フェンス,152-8 江坂５丁目パーキング北面フェンス
153,1,大阪府吹田市千里山西１丁目３８の前,阪急電車フェンス,153-1 阪急電車フェンス
153,2,大阪府吹田市千里山西４丁目３８,ぞうさん遊園,153-2 ぞうさん遊園
153,3,大阪府吹田市千里山西５丁目１－９,千里山駅第１駐車場,153-3 千里山駅第１駐車場
153,4,大阪府吹田市千里山西４丁目３４,ステイツ千里山西前フェンス,153-4 ステイツ千里山西前フェンス
153,5,大阪府吹田市千里山西５丁目２９,吹田市消防団千二分団西面,153-5 吹田市消防団千二分団西面
153,6,大阪府吹田市千里山西５丁目３１,千里山第２噴水,153-6 千里山第２噴水
153,7,大阪府吹田市千里山西５丁目１１－１９,千里山会館東面コンクリート壁,153-7 千里山会館東面コンクリート壁
154,1,大阪府吹田市春日１丁目２－４,農地西面,154-1 農地西面
154,2,大阪府吹田市春日２丁目２,レジオンスクエア緑地公園前道路フェンス,154-2 レジオンスクエア緑地公園前道路フェンス
154,3,大阪府吹田市春日３丁目１－１３,春日会館,154-3 春日会館
154,4,大阪府吹田市春日３丁目１３,水路鉄柵（つばめ遊園横）,154-4 水路鉄柵（つばめ遊園横）
154,5,大阪府吹田市春日３丁目１４,駐車場西面,154-5 駐車場西面
154,6,大阪府吹田市春日３丁目１４,歩道鉄柵,154-6 歩道鉄柵
154,7,大阪府吹田市春日２丁目２５,春日さくら遊園前鉄柵,154-7 春日さくら遊園前鉄柵
155,1,大阪府吹田市千里山西６丁目４８,千里山西６丁目４８フェンス,155-1 千里山西６丁目４８フェンス
155,2,大阪府吹田市千里山竹園２丁目２０,歩道鉄柵,155-2 歩道鉄柵
155,3,大阪府吹田市千里山西６丁目６３の前,高川沿い,155-3 高川沿い
155,4,大阪府吹田市春日４丁目１１,公団千里春日台団地１号棟北面,155-4 公団千里春日台団地１号棟北面
155,5,大阪府吹田市春日４丁目１２,春日東トンボ遊園,155-5 春日東トンボ遊園
155,6,大阪府吹田市春日４丁目１,春日東遊園南面,155-6 春日東遊園南面
155,7,大阪府吹田市千里山竹園１丁目２７,西千里第２遊園,155-7 西千里第２遊園
155,8,大阪府吹田市春日４丁目５,春日かぜの遊園東面,155-8 春日かぜの遊園東面
155,9,大阪府吹田市千里山竹園１丁目３,てまり遊園南東面,155-9 てまり遊園南東面
156,1,大阪府吹田市千里山松が丘３,トラちゃん遊園前鉄柵,156-1 トラちゃん遊園前鉄柵
156,2,大阪府吹田市千里山松が丘１５,松が丘第三公園南東面,156-2 松が丘第三公園南東面
156,3,大阪府吹田市千里山高塚６,高塚南遊園北面,156-3 高塚南遊園北面
156,4,大阪府吹田市千里山虹が丘２,公団虹２棟北側,156-4 公団虹２棟北側
156,5,大阪府吹田市千里山月が丘２,市営千里山住宅３棟北東面,156-5 市営千里山住宅３棟北東面
156,6,大阪府吹田市千里山東４丁目１３,千里山東にちご公園北西面,156-6 千里山東にちご公園北西面
156,7,大阪府吹田市千里山東２丁目５,千里山東公園北面,156-7 千里山東公園北面
156,8,大阪府吹田市千里山松が丘２５－１,千里第二小学校正門横,156-8 千里第二小学校正門横
156,9,大阪府吹田市千里山霧が丘２２,千里山コミュニティセンター横ガードレール,156-9 千里山コミュニティセンター横ガードレール
156,10,大阪府吹田市千里山星が丘４,プラウド千里山前歩道鉄柵,156-10 プラウド千里山前歩道鉄柵
157,1,大阪府吹田市佐井寺２丁目２６,こすもす遊園南面コンクリート壁,157-1 こすもす遊園南面コンクリート壁
157,2,大阪府吹田市竹谷町３７－１,総合運動場西側鉄柵,157-2 総合運動場西側鉄柵
157,3,大阪府吹田市佐井寺南が丘１４,佐井寺南が丘公園南西面,157-3 佐井寺南が丘公園南西面
157,4,大阪府吹田市佐井寺南が丘１４,佐井寺南が丘公園北東面,157-4 佐井寺南が丘公園北東面
157,5,大阪府吹田市佐井寺１丁目１０,佐井寺南公園南面,157-5 佐井寺南公園南面
