投票区,番号,住所,備考,名称
151,1,大阪府吹田市山手町３丁目３,関西大学会館 大学本部 東側フェンス,151-1 関西大学会館 大学本部 東側フェンス
151,2,大阪府吹田市円山町５２,円山見晴らし公園南東面,151-2 円山見晴らし公園南東面
151,3,大阪府吹田市山手町３丁目５,関大幼稚園前阪急フェンス,151-3 関大幼稚園前阪急フェンス
151,4,大阪府吹田市円山町３,垂水上池公園東面,151-4 垂水上池公園東面
151,5,大阪府吹田市円山町１２－２９,住宅供給公社豊津団地北面,151-5 住宅供給公社豊津団地北面
151,6,大阪府吹田市円山町５０,円山公園フェンス,151-6 円山公園フェンス
151,7,大阪府吹田市円山町２１,関大前駅南側歩道フェンス,151-7 関大前駅南側歩道フェンス
152,1,大阪府吹田市千里山西１丁目６,市営千里山西住宅２棟北東面,152-1 市営千里山西住宅２棟北東面
152,2,大阪府吹田市千里山西１丁目１３,千里山西遊園,152-2 千里山西遊園
152,3,大阪府吹田市千里山西２丁目２－１,第一中学校東面,152-3 第一中学校東面
152,4,大阪府吹田市千里山西２丁目１３－１,千里第三小学校北面,152-4 千里第三小学校北面
152,5,大阪府吹田市千里山西２丁目１７,江坂山北公園南面,152-5 江坂山北公園南面
152,6,大阪府吹田市千里山西２丁目１３－１,千里第三小学校南面,152-6 千里第三小学校南面
152,7,大阪府吹田市江坂町５丁目３,江坂山南公園北面,152-7 江坂山南公園北面
152,8,大阪府吹田市江坂町５丁目１３,江坂５丁目パーキング北面フェンス,152-8 江坂５丁目パーキング北面フェンス
153,1,大阪府吹田市千里山西１丁目３８の前,阪急電車フェンス,153-1 阪急電車フェンス
153,2,大阪府吹田市千里山西４丁目３８,ぞうさん遊園,153-2 ぞうさん遊園
153,3,大阪府吹田市千里山西５丁目１－９,千里山駅第１駐車場,153-3 千里山駅第１駐車場
153,4,大阪府吹田市千里山西４丁目３４,ステイツ千里山西前フェンス,153-4 ステイツ千里山西前フェンス
153,5,大阪府吹田市千里山西５丁目２９,吹田市消防団千二分団西面,153-5 吹田市消防団千二分団西面
153,6,大阪府吹田市千里山西５丁目３１,千里山第２噴水,153-6 千里山第２噴水
153,7,大阪府吹田市千里山西５丁目１１－１９,千里山会館東面コンクリート壁,153-7 千里山会館東面コンクリート壁
